1,DAEMON_START,"Service startup"
2,DAEMON_STOP,"Service shoutdown"
3,NO_RETRY_POLICY_FOUND,"Incomplete parameters for retry policy"
4,FATAL_ERROR,"Fatal error"
5,PRODUCER_GETTING_TAPE,"VdqmRequestsProducer: getting a tape to submit"
6,PRODUCER_NO_TAPE,"VdqmRequestsProducer: no tape retrieved"
7,PRODUCER_TAPE_FOUND,"VdqmRequestsProducer: no tape to submit"
8,PRODUCER_CANNOT_UPDATE_DB,"VdqmRequestsProducer: cannot update db"
9,PRODUCER_QUERYING_VMGR,"VdqmRequestsProducer: querying vmgr"
10,PRODUCER_VMGR_ERROR,"VdqmRequestsProducer: vmgr error"
11,PRODUCER_SUBMITTING_VDQM,"VdqmRequestsProducer: submitting to vdqm"
12,PRODUCER_VDQM_ERROR,"VdqmRequestsProducer: vdqm error"
13,PRODUCER_REQUEST_SAVED,"VdqmRequestsProducer: vdqm request id saved in the db"
14,CHECKER_GETTING_TAPES,"VdqmRequestsChecker: getting tapes to check"
15,CHECKER_NO_TAPE,"VdqmRequestsChecker: no tape to check"
16,CHECKER_QUERYING_VDQM,"VdqmRequestsChecker: querying vdqm"
17,CHECKER_LOST_VDQM_REQUEST,"VdqmRequestsChecker: request was lost or out of date"
18,CHECKER_CANNOT_UPDATE_DB,"VdqmRequestsChecker: cannot update db"
19,CHECKER_RELEASING_UNUSED_TAPE,"VdqmRequestsChecker: releasing BUSY tape"
20,CHECKER_VMGR_ERROR,"VdqmRequestsChecker: vmgr error,impossible to reset BUSY state"
21,CHECHER_TAPES_FOUND,"VdqmRequestsChecker: tapes to check found"
22,CHECKER_TAPES_RESURRECTED,"VdqmRequestsChecker: tapes resurrected"
23,LINKER_GETTING_STREAMS,"TapeStreamLinker: getting streams to resolve"
24,LINKER_NO_STREAM,"TapeStreamLinker: no stream to resolve"
25,LINKER_QUERYING_VMGR,"TapeStreamLinker: querying vmgr"
26,LINKER_LINKING_TAPE_STREAM,"TapeStreamLinker: association tape-stream done"
27,LINKER_CANNOT_UPDATE_DB,"TapeStreamLinker: cannot update db"
28,LINKER_RELEASED_BUSY_TAPE,"TapeStreamLinker: released BUSY tape"
29,LINKER_NO_TAPE_AVAILABLE,"TapeStreamLinker:No tape available in such tapepool"
30,LINKER_STREAMS_FOUND,"TapeStreamLinker: streams found"
31,LINKER_TAPES_ATTACHED,"TapeStreamLinker: tapes attached to streams"
32,MIG_ERROR_GETTING_FILES,"MigratorErrorHandlerThread: getting failed tapecopy"
33,MIG_ERROR_NO_TAPECOPY,"MigratorErrorHandlerThread: no tapecopy found"
34,MIG_ERROR_RETRY,"MigratorErrorHandlerThread: retry this migration"
35,MIG_ERROR_FAILED,"MigratorErrorHandlerThread: fail this migration"
36,MIG_ERROR_RETRY_BY_DEFAULT,"MigratorErrorHandlerThread: retry this migration without applying the policy"
37,MIG_ERROR_CANNOT_UPDATE_DB,"MigratorErrorHandlerThread: cannot update db"
38,MIG_ERROR_TAPECOPIES_FOUND,"MigratorErrorHandlerThread: tapecopies found"
39,MIG_ERROR_RESULT_SAVED,"MigratorErrorHandlerThread: result saved"
40,REC_ERROR_GETTING_FILES,"RecallerErrorHandlerThread: getting failed tapecopy"
41,REC_ERROR_NO_TAPECOPY,"RecallerErrorHandlerThread: no tapecopy found"
42,REC_ERROR_RETRY,"RecallerErrorHandlerThread: retry this recall"
43,REC_ERROR_FAILED,"RecallerErrorHandlerThread: fail this recall"
44,REC_ERROR_RETRY_BY_DEFAULT,"RecallerErrorHandlerThread: retry this recall without applying the policy"
45,REC_ERROR_CANNOT_UPDATE_DB,"RecallerErrorHandlerThread: cannot update db"
46,REC_ERROR_TAPECOPIES_FOUND,"RecallerErrorHandlerThread: tapecopies found"
47,REC_ERROR_RESULT_SAVED,"RecallerErrorHandlerThread: result saved"
48,WORKER_MESSAGE_RECEIVED,"Worker: received a message"
49,WORKER_UNKNOWN_CLIENT,"Worker: unknown client"
50,WORKER_INVALID_REQUEST,"Worker: invalid request"
51,WORKER_INVALID_CAST,"Worker: invalid cast"
52,WORKER_DISPATCHING,"Worker: dispatching request"
53,WORKER_RESPONDING,"Worker: responding to the Tapebridge"
54,WORKER_CANNOT_RESPOND,"Worker: cannot respond to the Tapebridge"
55,WORKER_CANNOT_RECEIVE,"Worker: cannot receive message"
56,WORKER_UNKNOWN_EXCEPTION,"Worker: received volume request"
57,WORKER_VOLUME_REQUESTED,"Worker: getting volume from db"
58,WORKER_GETTING_VOLUME,"Worker: getting volume from db"
59,WORKER_NO_VOLUME,"Worker: no volume found"
60,WORKER_NO_FILE,"Worker: no file found for such volume"
61,WORKER_VOLUME_FOUND,"Worker: volume found"
62,WORKER_RECALL_NOTIFIED,"Worker: received recall notification"
63,WORKER_RECALL_GET_DB_INFO,"Worker: getting data from db for recalled file"
64,WORKER_RECALL_FILE_NOT_FOUND,"Worker: recalled file not found"
65,WORKER_RECALL_NS_CHECK,"Worker: checking nameserver"
66,WORKER_RECALL_NS_FAILURE,"Worker: nameserver error for recalled file"
67,WORKER_RECALL_DB_UPDATE,"Worker: updating db after recall notification"
68,WORKER_RECALL_CANNOT_UPDATE_DB,"Worker: cannot update db for recalled"
69,WORKER_RECALL_CHECK_FILE_SIZE,"Worker: checking file size of recalled file"
70,WORKER_RECALL_WRONG_FILE_SIZE,"Worker: wrong file size for recalled file"
71,WORKER_RECALL_COMPLETED_UPDATE_DB,"Worker: update the db after full recall completed"
72,WORKER_MIGRATION_NOTIFIED,"Worker: received migration notification"
73,WORKER_MIGRATION_GET_DB_INFO,"Worker: getting data from db for migrated file"
74,WORKER_MIGRATION_FILE_NOT_FOUND,"Worker: migrated file not found"
75,WORKER_MIGRATION_VMGR_UPDATE,"Worker: updating vmgr for migrated file"
76,WORKER_MIGRATION_NS_UPDATE,"Worker: updating nameserver for migrated file"
77,WORKER_REPACK_NS_UPDATE,"Worker: updating nameserver for repacked file"
78,WORKER_MIGRATION_NS_FAILURE,"Worker: nameserver error for migrated/repacked file"
79,WORKER_MIGRATION_VMGR_FAILURE,"Worker: vmgr error for migrated/repacked file"
80,WORKER_MIGRATION_DB_UPDATE,"Worker: updating db for migrated file"
